libmysofa 1.3.3-1
libnbd 1.22.5-2
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.68.0-1
libnghttp3 1.13.1-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.54.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.7-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.16.1-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.3-1
libopenrazer 0.4.0-1
liborcus 0.21.0-2
libosinfo 1.12.0-2
libp11-kit 0.25.10-2
libpackagekit-glib 1.3.2-2
libpagemaker 0.0.4-4
libpamac 11.7.4-1
libpamac-flatpak-plugin 11.7.4-1
libpaper 2.2.7-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libphonenumber 1:9.0.20-1
libpipeline 1.5.8-1
libpipewire 1:1.4.9-2
libplacebo 7.351.0-3
libplasma 6.5.4-1
libplist 2.7.0-1
libpng 1.6.53-1
libportal 0.9.1-2
libportal-gtk3 0.9.1-2
libportal-gtk4 0.9.1-2
libppd 2.1.1-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libpwquality 1.4.5-6
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.8.2-1
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libqxp 0.0.2-14
libraqm 0.10.3-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-still 25.2.7-4
librevenge 0.0.5-3
librsvg 2:2.61.3-1
